Sector,Sec No.,Class,Class No.
Equipments,1,Air Conditions,101
Equipments,1,Air Heaters,102
Equipments,1,Air Cooler,103
Equipments,1,Exhaust Fans,104
Equipments,1,Air Filters,105
Equipments,1,Electric Fans,106
Equipments,1,Kettles,107
Equipments,1,Electric Grills,108
Equipments,1,Stoves,109
Equipments,1,Ovens,110
Equipments,1,Microwaves and Toasters,111
Equipments,1,Yogurt Maker,112
Equipments,1,Cappuccino and Coffee Makers,113
Equipments,1,Electric Fryers,114
Equipments,1,Blenders,115
Equipments,1,Other Kitchen Machines,116
Equipments,1,Refrigerators,117
Equipments,1,Water Refrigerator,118
Equipments,1,Water Dispensers,119
Equipments,1,Deep Freezers,120
Equipments,1,Ice Makers,121
Equipments,1,Electric Water Heater,122
Equipments,1,Gas Water Heater,123
Equipments,1,Solar Heater,124
Equipments,1,Dish Washers,125
Equipments,1,Normal Washing Machines,126
Equipments,1,Automatic Washing Machines,127
Equipments,1,Clothes Dryer,128
Equipments,1,Hands Dryer,129
Equipments,1,Electric Irons,130
Equipments,1,Vacuum Cleaners,131
Equipments,1,Electric Insect Killer,132
Equipments,1,Electric Air Freshener,133
Equipments,1,Babyliss,134
Equipments,1,Electric Hair Dryers and Styler`s,135
Equipments,1,Electric Hair Removers,136
Equipments,1,Hair Cutting and Shavers,137
Equipments,1,Electric Tooth Brush,138
Equipments,1,Optical Machines,139
Equipments,1,Disposable Batteries,140
Equipments,1,Rechargeable Batteries,141
Equipments,1,Batteries Chargers,142
Equipments,1,Rechargeable Lantern,143
Equipments,1,"Elevators, Ladders and Escalators",144
Equipments,1,Cables and Wires,145
Equipments,1,Waste Disposer,146
Equipments,1,Electric Generators and Power Supplies,147
Equipments,1,Water Motors and Pumps,148
Equipments,1,Air Compressors and Blowers,149
Equipments,1,Welding Machines,150
Equipments,1,Wood and Steel Sawing Machines,151
Equipments,1,Weapons and Ammunitions,152
Equipments,1,Other Manufacturing Machines,153
Equipments,1,Sewing Machines and Supplies,154
Equipments,1,Farming and Irrigation Equipments,155
Equipments,1,Exercises and Sports Equipment,156
Equipments,1,Boats Engines,157
Equipments,1,Televisions,158
Equipments,1,Home Theater System,159
Equipments,1,Sound Speakers and Subwoofers,160
Equipments,1,Microphones and Megaphones,161
Equipments,1,Radio and Cassettes,162
Equipments,1,Portable CD player,163
Equipments,1,Hi -Fi Systems,164
Equipments,1,DVD Player,165
Equipments,1,Video Cassettes,166
Equipments,1,Music Player,167
Equipments,1,Musical Instruments,168
Equipments,1,I Pod,169
Equipments,1,Photography Camera,170
Equipments,1,Video Camera,171
Equipments,1,Digital Camera,172
Equipments,1,"Camera Accessories, Films and Tapes",173
Equipments,1,Play Station,174
Equipments,1,Typewriters,175
Equipments,1,Photocopier,176
Equipments,1,Cash Registers,177
Equipments,1,Calculators,178
Equipments,1,Electronic Translators,179
Equipments,1,Combined Equipments,198
Equipments,1,Other Equipments,199
Technology Appliances,2,Computer Parts and Accessories,201
Technology Appliances,2,Laptops,202
Technology Appliances,2,Special Functions Computers,203
Technology Appliances,2,Printers and Printers Ink,204
Technology Appliances,2,Scanners,205
Technology Appliances,2,Screens and Monitors,206
Technology Appliances,2,Projectors and Data Show,207
Technology Appliances,2,Data Traveler,208
Technology Appliances,2,Memory Cards,209
Technology Appliances,2,Satellite Receivers,210
Technology Appliances,2,"Fax, Telex and Facsimile",211
Technology Appliances,2,Telephones and Telephone Systems,212
Technology Appliances,2,Intercom,213
Technology Appliances,2,Telephone Lines Cards,214
Technology Appliances,2,Cabinet Cards,215
Technology Appliances,2,Mobile Phones,216
Technology Appliances,2,Mobile Phones Accessories,217
Technology Appliances,2,Combined Communication Appliances,298
Technology Appliances,2,Other Communication Appliances,299
Vehicles,3,Cars,301
Vehicles,3,Four Wheel Drive,302
Vehicles,3,Pick Up,303
Vehicles,3,Heavy Pick Up and Trucks,304
Vehicles,3,Mini and Microbuses,305
Vehicles,3,Buses,306
Vehicles,3,Special Needs Vehicles,307
Vehicles,3,Services Cars,308
Vehicles,3,Industrial and Constructions Vehicles,309
Vehicles,3,Farming Vehicles,310
Vehicles,3,Motorcycles,311
Vehicles,3,Bicycles,312
Vehicles,3,Ships and Boats,313
Vehicles,3,Aircrafts,314
Vehicles,3,Combined Vehicles,398
Vehicles,3,Other Vehicles,399
Vehicles Accessories,4,Car Batteries,401
Vehicles Accessories,4,Car Paints and Cleaners,402
Vehicles Accessories,4,Cars Air Conditions,403
Vehicles Accessories,4,Tires,404
Vehicles Accessories,4,Car Oils,405
Vehicles Accessories,4,Spark Plugs,406
Vehicles Accessories,4,Cars Fire Extinguisher,407
Vehicles Accessories,4,Security Alarm System,408
Vehicles Accessories,4,Cars Cassette and Sound Systems,409
Vehicles Accessories,4,Cars Speakers,410
Vehicles Accessories,4,Motorcycles Accessories,411
Vehicles Accessories,4,Bicycles Accessories,412
Vehicles Accessories,4,Combined Cars Accessories,498
Vehicles Accessories,4,Other Cars Accessories,499
Medicines and Medical Tools,5,Headache Reliever,501
Medicines and Medical Tools,5,Pain Reliever,502
Medicines and Medical Tools,5,Antibiotic,503
Medicines and Medical Tools,5,Cold Medicines,504
Medicines and Medical Tools,5,Cough Medicines,505
Medicines and Medical Tools,5,Sore Throat,506
Medicines and Medical Tools,5,Digestive Medicines,507
Medicines and Medical Tools,5,Acidity Removers,508
Medicines and Medical Tools,5,Vitamins,509
Medicines and Medical Tools,5,Skin Medicines,510
Medicines and Medical Tools,5,Eye Drops,511
Medicines and Medical Tools,5,Nose Drops,512
Medicines and Medical Tools,5,Losing Weight Medicines,513
