,display_text_width,account_created_at,retweet_friends_count,media_expanded_url,mentions_screen_name,profile_background_url,retweet_source,verified,media_t.co,listed_count,place_type,location,profile_url,description,coords_coords,favorite_count,is_retweet,status_id,retweet_screen_name,geo_coords,screen_name,retweet_count,bbox_coords,reply_to_user_id,profile_expanded_url,is_quote,ext_media_t.co,source,ext_media_expanded_url,retweet_verified,place_name,statuses_count,media_url,media_type,followers_count,reply_to_status_id,profile_image_url,mentions_user_id,url,user_id,lang,name,urls_t.co,country_code,retweet_created_at,profile_banner_url,protected,created_at,urls_url,retweet_favorite_count,place_url,retweet_text,retweet_retweet_count,retweet_statuses_count,country,retweet_status_id,hashtags,reply_to_screen_name,text,retweet_location,friends_count,ext_media_url,place_full_name,symbols,favourites_count,retweet_name,urls_expanded_url,retweet_user_id,retweet_description,retweet_followers_count,status_url
0,120,2014-10-15 21:58:35,781,[None],['haythamabokhal1'],http://abs.twimg.com/images/themes/theme1/bg.png,Twitter for Android,False,[None],0,0,,0,,"['NA', 'NA']",0,True,1408758089822703616,haythamabokhal1,"['NA', 'NA']",amrnaga74,20,"['NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA']",0,0,False,[None],Twitter for Android,[None],True,0,17995,[None],[None],152,0,http://pbs.twimg.com/profile_images/524733022692966400/qE_Vb7qp_normal.jpeg,['352489322'],0,2832795611,ar,عمرو نجا,[None],0,2021-06-26 10:17:17,https://pbs.twimg.com/profile_banners/2832795611/1444404303,False,2021-06-26 12:04:36,[None],144,0,"❌باقي 96ساعة
إما نستقبل التهاني
بعودة جيش مصر لحماية شعبه
أو نتلقى التعازي
#سد_النهضة
#الجيش_المصري",20,42915,0,1408731082913193985,"['سد_النهضة', 'الجيش_المصري']",0,"❌باقي 96ساعة
إما نستقبل التهاني
بعودة جيش مصر لحماية شعبه
أو نتلقى التعازي
#سد_النهضة
#الجيش_المصري","Alexandria,Egypt",430,[None],0,[None],24044,Haytham Abokhalil هيثم أبوخليل,[None],352489322,‏‏TV presenter& Human Rights Activist إعلامي وناشط حقوقي وسياسي مصري ـــــــــــــــ باشتغل واكتب علشان أرجع مصر من إللي خاطفينها ومستعد أدفع الفدية حياتي,571403,https://twitter.com/amrnaga74/status/1408758089822703616
1,134,2020-04-15 17:00:11,0,['https://twitter.com/ahlmasrnews0/status/1408757945962225665/photo/1'],[None],0,0,False,['https://t.co/fsOA3Mgupj'],5,0,cairo,https://t.co/CQO84TklH4,موقع إخبارى يختص بنشر الأخبار المحلية والإقليمية والعالمية في شتى المجالات المختلفة على مدار الساعة,"['NA', 'NA']",0,False,1408757945962225665,0,"['NA', 'NA']",ahlmasrnews0,0,"['NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA']",0,https://www.ahlmasrnews.com/,False,['https://t.co/fsOA3Mgupj'],TweetDeck,['https://twitter.com/ahlmasrnews0/status/1408757945962225665/photo/1'],0,0,28662,['http://pbs.twimg.com/media/E4zp4czXoAU4rZZ.jpg'],['photo'],3117,0,http://pbs.twimg.com/profile_images/1394605956760317957/PXqLiFR0_normal.png,[None],https://t.co/CQO84TklH4,1250468867996110848,ar,جريدة أهل مصر,['https://t.co/CqxYU3Pvoi'],0,0,https://pbs.twimg.com/profile_banners/1250468867996110848/1621334982,False,2021-06-26 12:04:02,['bit.ly/3jnZJHk'],0,0,0,0,0,0,0,['عاجل'],0,"#عاجل| بعد فشل مفاوضات سد النهضة.. وزير الخارجية يوضح حقيقة ما يثار حول شراء مصر المياه من إثيوبيا

التفاصيل.. https://t.co/CqxYU3Pvoi https://t.co/fsOA3Mgupj",0,0,['http://pbs.twimg.com/media/E4zp4czXoAU4rZZ.jpg'],0,[None],1,0,['https://bit.ly/3jnZJHk'],0,0,0,https://twitter.com/ahlmasrnews0/status/1408757945962225665
2,140,2017-10-04 13:47:21,1109,[None],['fayednet'],0,Twitter for iPhone,False,[None],1,0,Yemen,0,‏‏‏‏‏‏مهندس. محب لصداقة والتواصل مع الجميع,"['NA', 'NA']",0,True,1408757770057363456,fayednet,"['NA', 'NA']",Alyameny6,3,"['NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA']",0,0,False,[None],Twitter for Android,[None],False,0,118817,[None],[None],1166,0,http://pbs.twimg.com/profile_images/1400280208796753922/0KjqV3Qc_normal.jpg,['49932833'],0,915574061182398465,ar,أمير اليماني,[None],0,2021-06-26 11:59:01,https://pbs.twimg.com/profile_banners/915574061182398465/1579892487,False,2021-06-26 12:03:20,[None],16,0,"وزير الخارجية المصري: تصريحات #اثيوبيا عن عمل عسكري ضد #سد_النهضة استفزازية بهدف التهرب من الالتزامات ورفض توقيع اتفاق قانوني عادل وملزم
#مصر لديها القدرة ولن تتهاون في الدفاع عن مصالح شعبها اذا ما وقع الضرر ولكننا نتمسك بالحلول الدبلوماسية والتفاوضية واللجوء الى الاليات الدولية",3,2689,0,1408756683267006464,"['اثيوبيا', 'سد_النهضة']",0,"وزير الخارجية المصري: تصريحات #اثيوبيا عن عمل عسكري ضد #سد_النهضة استفزازية بهدف التهرب من الالتزامات ورفض توقيع اتفاق قانوني عادل وملزم
#مصر لديها القدرة ولن تتهاون في الدفاع عن مصالح شعبها اذا ما وقع الضرر ولكننا نتمسك بالحلول الدبلوماسية والتفاوضية واللجوء الى الاليات الدولية",مصر,474,[None],0,[None],233822,Abdelfattah Fayed عبدالفتاح فايد,[None],49932833,Aljazeera Media Network محرر الشؤون المصرية في قناة الجزيرة,78088,https://twitter.com/Alyameny6/status/1408757770057363456
3,140,2019-08-09 15:03:46,1109,[None],['fayednet'],0,Twitter for iPhone,False,[None],0,0,Yemen,0,‏‏‏‏‏يقال ان الانسان يفارق الحياة ثلاث مرات الاولى حين يفقد برائتة والثانيه حين يفقد سذاجتة اما الثالثة فهي بمفارقة الحياة نفسها... !,"['NA', 'NA']",0,True,1408757417639301123,fayednet,"['NA', 'NA']",bG0W6NTw6Y1ljNo,3,"['NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA']",0,0,False,[None],Twitter for Android,[None],False,0,49175,[None],[None],477,0,http://pbs.twimg.com/profile_images/1286777605174235137/cJbFoc72_normal.jpg,['49932833'],0,1159842713925111809,ar,سليمان اليماني,[None],0,2021-06-26 11:59:01,https://pbs.twimg.com/profile_banners/1159842713925111809/1572510225,False,2021-06-26 12:01:56,[None],16,0,"وزير الخارجية المصري: تصريحات #اثيوبيا عن عمل عسكري ضد #سد_النهضة استفزازية بهدف التهرب من الالتزامات ورفض توقيع اتفاق قانوني عادل وملزم
#مصر لديها القدرة ولن تتهاون في الدفاع عن مصالح شعبها اذا ما وقع الضرر ولكننا نتمسك بالحلول الدبلوماسية والتفاوضية واللجوء الى الاليات الدولية",3,2689,0,1408756683267006464,"['اثيوبيا', 'سد_النهضة']",0,"وزير الخارجية المصري: تصريحات #اثيوبيا عن عمل عسكري ضد #سد_النهضة استفزازية بهدف التهرب من الالتزامات ورفض توقيع اتفاق قانوني عادل وملزم
#مصر لديها القدرة ولن تتهاون في الدفاع عن مصالح شعبها اذا ما وقع الضرر ولكننا نتمسك بالحلول الدبلوماسية والتفاوضية واللجوء الى الاليات الدولية",مصر,672,[None],0,[None],71355,Abdelfattah Fayed عبدالفتاح فايد,[None],49932833,Aljazeera Media Network محرر الشؤون المصرية في قناة الجزيرة,78088,https://twitter.com/bG0W6NTw6Y1ljNo/status/1408757417639301123
4,139,2014-03-10 11:51:43,2238,[None],['kokoshylock66'],http://abs.twimg.com/images/themes/theme1/bg.png,Twitter for Android,False,[None],15,0,Aswan,0,ربي اجعلني مقيم الصلاة ومن ذريتي ربنا وتقبل دعاء,"['NA', 'NA']",0,True,1408757131713581056,kokoshylock66,"['NA', 'NA']",ossamamh1,5,"['NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA']",0,0,False,[None],Twitter for iPhone,[None],False,0,199890,[None],[None],2256,0,http://pbs.twimg.com/profile_images/1379392840518733830/8TPGC4e9_normal.jpg,['2460756808'],0,2399339752,ar,🇪🇬osama #الانصاري,[None],0,2021-06-26 11:31:03,https://pbs.twimg.com/profile_banners/2399339752/1590083269,False,2021-06-26 12:00:48,[None],15,0,اشتري مني، التوقيت الوحيد المظبوط لحل أزمة سد النهضة هو التوقيت الذي ستقرره مصر للحل (بأي صورة من الصور)، شكرا ونرجو ان نكون قد امتعناكم,5,55185,0,1408749645833121792,[None],0,اشتري مني، التوقيت الوحيد المظبوط لحل أزمة سد النهضة هو التوقيت الذي ستقرره مصر للحل (بأي صورة من الصور)، شكرا ونرجو ان نكون قد امتعناكم,Cairo ,441,[None],0,[None],91090,Ronin🇪🇬🇪🇬,[None],2460756808,Where Demons Fear to Tread,1812,https://twitter.com/ossamamh1/status/1408757131713581056
5,139,2020-12-23 15:48:52,4671,[None],['santafaaa'],0,Twitter for iPhone,False,[None],6,0,"الأسكندرية, مصر",0,‏الشنتوحه مصري🇪🇬💪والشنتوحه اسلوبي,"['NA', 'NA']",0,True,1408757018991775747,santafaaa,"['NA', 'NA']",Menap98642,8,"['NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA']",0,0,False,[None],Twitter for Android,[None],False,0,3541,[None],[None],14044,0,http://pbs.twimg.com/profile_images/1341773094789255168/-Vh6J4L0_normal.jpg,['344677786'],0,1341772559784796161,ar,Menapop💪🇪🇬( الشنتوحه)😂😎👊,[None],0,2021-06-26 10:33:15,0,False,2021-06-26 12:00:21,[None],28,0,"قالك اثيوبيا جاهزة للحل العسكرى فى قضية سد النهضة هى هى هى هى 😂😂😂

يا جماعة كفاية كوميديا ده انتوا مش باقى فى جيشكم حد كلهم اسرى عند قوات التيغراى 😁 https://t.co/OGd8cqsOM4",8,8994,0,1408735101287079938,[None],0,"قالك اثيوبيا جاهزة للحل العسكرى فى قضية سد النهضة هى هى هى هى 😂😂😂

يا جماعة كفاية كوميديا ده انتوا مش باقى فى جيشكم حد كلهم اسرى عند قوات التيغراى 😁 https://t.co/OGd8cqsOM4",Egypt,4341,[None],0,[None],5497,ahmed mostafa,[None],344677786,مصرى أعشق تراب بلدى (مصر أولًا🇪🇬) / قناة اليوتيوب👇 https://t.co/znocfPp5Qn,6540,https://twitter.com/Menap98642/status/1408757018991775747
6,120,2013-04-04 13:52:24,781,[None],['haythamabokhal1'],http://abs.twimg.com/images/themes/theme1/bg.png,Twitter for Android,False,[None],2,0,المملكة العربية السعودية,0,,"['NA', 'NA']",0,True,1408756824162111489,haythamabokhal1,"['NA', 'NA']",23Sherif,20,"['NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA']",0,0,False,[None],Twitter for Android,[None],True,0,113999,[None],[None],1959,0,http://pbs.twimg.com/profile_images/1392020385252663296/H7gKMge9_normal.jpg,['352489322'],0,1326981402,ar,sherif,[None],0,2021-06-26 10:17:17,https://pbs.twimg.com/profile_banners/1326981402/1392098209,False,2021-06-26 11:59:34,[None],144,0,"❌باقي 96ساعة
إما نستقبل التهاني
بعودة جيش مصر لحماية شعبه
أو نتلقى التعازي
#سد_النهضة
#الجيش_المصري",20,42915,0,1408731082913193985,"['سد_النهضة', 'الجيش_المصري']",0,"❌باقي 96ساعة
إما نستقبل التهاني
بعودة جيش مصر لحماية شعبه
أو نتلقى التعازي
#سد_النهضة
#الجيش_المصري","Alexandria,Egypt",2502,[None],0,[None],19,Haytham Abokhalil هيثم أبوخليل,[None],352489322,‏‏TV presenter& Human Rights Activist إعلامي وناشط حقوقي وسياسي مصري ـــــــــــــــ باشتغل واكتب علشان أرجع مصر من إللي خاطفينها ومستعد أدفع الفدية حياتي,571403,https://twitter.com/23Sherif/status/1408756824162111489
7,140,2013-04-04 13:52:24,841,[None],"['almesaharaty2', 'GwadyM']",http://abs.twimg.com/images/themes/theme1/bg.png,Twitter for Android,False,[None],2,0,المملكة العربية السعودية,0,,"['NA', 'NA']",0,True,1408756413174792197,almesaharaty2,"['NA', 'NA']",23Sherif,2,"['NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA']",0,0,False,[None],Twitter for Android,[None],False,0,113999,[None],[None],1959,0,http://pbs.twimg.com/profile_images/1392020385252663296/H7gKMge9_normal.jpg,"['1636266217', '260664856']",0,1326981402,ar,sherif,[None],0,2021-06-26 11:29:35,https://pbs.twimg.com/profile_banners/1326981402/1392098209,False,2021-06-26 11:57:56,[None],2,0,"@GwadyM أذا كان صلاح الدين قد قال يوما:
كيف أضحك والمسجد الأقصى أسير . 
فأنا أقول كيف نضحك اليوم ونهر النيل العظيم  أسير.
والله وجب على شباب هذه الأمة ألا يضحكوا.. أو يلعبوا.. أو يلهوا قبل أن يتحرر المسجد الأقصى 
ونهر النيل العظيم.
#سد_النهضه",2,1362,0,1408749277099302912,[None],0,"@GwadyM أذا كان صلاح الدين قد قال يوما:
كيف أضحك والمسجد الأقصى أسير . 
فأنا أقول كيف نضحك اليوم ونهر النيل العظيم  أسير.
والله وجب على شباب هذه الأمة ألا يضحكوا.. أو يلعبوا.. أو يلهوا قبل أن يتحرر المسجد الأقصى 
ونهر النيل العظيم.
#سد_النهضه","Cairo, Egypt",2502,[None],0,[None],19,المسحراتي٢,[None],1636266217,‏‏‏‏‏‏‏‏لن ينصلح حال هذه الأمة إلا بالعودة إلى جذورها متسلحة بأحدث ما وصل إليه العصر من علوم ومعارف.,336,https://twitter.com/23Sherif/status/1408756413174792197
8,197,2019-06-10 06:49:25,0,[None],"['na0577', 'SaudiNews50']",0,0,False,[None],0,0,"Alexandria, Egypt",0,"""كُنْ واقعياً في كلِّ شيءٍ إلا في الدُّعاء بَالِغْ أنتَ تسألُ ربَّ المستحيل !"" ❤","['NA', 'NA']",0,False,1408756787843584003,0,"['NA', 'NA']",Hadeer27685129,0,"['NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA']",569863291,0,False,[None],Twitter for iPhone,[None],0,0,433,[None],[None],63,1408550857658994688,http://pbs.twimg.com/profile_images/1402212438595059715/k05ljcoY_normal.jpg,"['569863291', '474886468']",0,1137975034218209280,ar,🇪🇬🇸🇦 ℋ𝒜𝒟ℰℰℛ,[None],0,0,0,False,2021-06-26 11:59:26,[None],0,0,0,0,0,0,0,[None],na0577,@na0577 @SaudiNews50 مملوك للبشر انت قلتها . اسرائيل بتمول بناء سد النهضة عشان يوقعو مصر ويدمروها بدون حرب عارف وفاهم ولا فالح تتكلم من ورا شاشة جوالك . اثيوبيا عايزة تبيع بعد كدا المياه بفلوس للدول ده بالنسبه لك ايه؟!,0,139,[None],0,[None],2455,0,[None],0,0,0,https://twitter.com/Hadeer27685129/status/1408756787843584003
9,64,2015-11-22 13:29:43,0,[None],"['ZIGO13', 'nnour80']",http://abs.twimg.com/images/themes/theme1/bg.png,0,False,[None],0,0,"القاهرة, مصر",0,,"['NA', 'NA']",0,False,1408756784072908800,0,"['NA', 'NA']",strongsheded,0,"['NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA']",463168764,0,False,[None],Twitter for Android,[None],0,0,564,[None],[None],43,1408535400340148224,http://pbs.twimg.com/profile_images/1396733905999474689/n0FB8Exz_normal.jpg,"['463168764', '710583128847417344']",0,4249794675,ar,mr strong,[None],0,0,https://pbs.twimg.com/profile_banners/4249794675/1614720356,False,2021-06-26 11:59:25,[None],0,0,0,0,0,0,0,[None],ZIGO13,@ZIGO13 @nnour80 ده لو سد النهضه اشتغل حسب المخطط له  ومصر تنازلت عن النيل والميه,0,174,[None],0,[None],1012,0,[None],0,0,0,https://twitter.com/strongsheded/status/1408756784072908800
