,Rank,DALY rate
United States,1,1454.74
Nepal,2,1424.48
East Timor,3,1404.1
Bangladesh,4,1401.53
India,5,1400.84
Pakistan,6,1400.42
Brazil,7,1396.1
Maldives,8,1391.61
Bhutan,9,1385.53
Afghanistan,10,1385.14
Finland,11,1344.13
Israel,12,1273.92
Slovenia,13,1248.47
Belgium,14,1244.46
France,15,1234.32
Chile,16,1221.23
Guatemala,17,1177.03
Haiti,18,1170.73
Bolivia,19,1161.56
Nicaragua,20,1161.25
Canada,21,1157.07
Ecuador,22,1156.3
Peru,23,1156.07
Croatia,24,1141.79
Armenia,25,1133.2
Azerbaijan,26,1120.05
Switzerland,27,1114.11
Turkmenistan,28,1112.94
Tajikistan,29,1112.45
Kyrgyzstan,30,1112.1
Denmark,31,1110.76
Uzbekistan,32,1110.18
Luxembourg,33,1110.0
Austria,34,1108.3
El Salvador,35,1103.93
Jamaica,36,1100.1
Colombia,37,1099.51
Bahamas,38,1099.29
Honduras,39,1098.66
Trinidad and Tobago,40,1098.21
Grenada,41,1098.14
Saint Lucia,42,1097.85
Uruguay,43,1095.86
Barbados,44,1095.76
Dominica,45,1094.66
Antigua and Barbuda,46,1094.65
Saint Kitts and Nevis,47,1094.64
Argentina,48,1094.2
Dominican Republic,49,1093.04
Suriname,50,1091.56
Venezuela,51,1088.72
Saint Vincent and the Grenadines,52,1087.5
Cuba,53,1087.25
Guyana,54,1086.82
Panama,55,1086.71
Belize,56,1085.63
Paraguay,57,1085.28
Costa Rica,58,1083.23
Sweden,59,1060.42
Georgia,60,1056.6
Albania,61,1047.94
Bosnia and Herzegovina,62,1044.53
Poland,63,1043.18
Slovakia,64,1042.62
Romania,65,1041.97
Bulgaria,66,1040.66
Serbia and Montenegro,67,1039.45
Macedonia,68,1037.76
Turkey,69,1037.51
Norway,70,996.78
United Kingdom,71,960.624
Ireland,72,959.325
Monaco,73,959.222
Andorra,74,956.319
Iceland,75,955.986
Germany,76,955.011
Lebanon,77,939.728
Cyprus,78,936.667
Morocco,79,936.319
Czech Republic,80,934.095
Egypt,81,931.894
Iraq,82,931.842
Yemen,83,931.675
Tunisia,84,931.414
Syria,85,930.51
Iran,86,929.554
Indonesia,87,927.707
Thailand,88,925.765
Cambodia,89,923.746
Jordan,90,923.086
Laos,91,923.076
Sri Lanka,92,922.893
Philippines,93,921.373
Libya,94,919.74
Singapore,95,919.158
Malaysia,96,918.331
Burma,97,917.689
Brunei,98,912.718
Vietnam,99,911.415
Papua New Guinea,100,909.399
Tonga,101,909.227
Federated States of Micronesia,102,904.903
Fiji,103,903.122
Nauru,104,900.547
Marshall Islands,105,900.546
Palau,106,900.533
Kiribati,107,900.401
Solomon Islands,108,900.169
Niue,109,899.281
Tuvalu,110,899.004
Cook Islands,111,898.923
Vanuatu,112,898.831
Samoa,113,896.317
Saudi Arabia,114,895.616
Bahrain,115,892.281
Oman,116,888.392
Kuwait,117,877.069
North Korea,118,868.902
Mongolia,119,866.49
South Korea,120,863.421
San Marino,121,862.099
Netherlands,122,861.586
Kazakhstan,123,860.07
Ukraine,124,858.312
Estonia,125,857.445
China,126,857.314
Russia,127,856.718
Belarus,128,855.825
Lithuania,129,855.363
Latvia,130,855.207
Moldova,131,855.04
New Zealand,132,851.065
Qatar,133,847.175
Hungary,134,847.062
Australia,135,846.943
U.A.E.,136,841.571
Mexico,137,784.702
Italy,138,776.376
Malta,139,763.792
Cape Verde,140,748.052
Mali,141,746.409
Lesotho,142,745.348
Angola,143,739.066
Burkina Faso,144,738.634
Sierra Leone,145,738.366
São Tomé and Príncipe,146,737.979
Guinea-Bissau,147,737.928
Equatorial Guinea,148,737.167
Chad,149,736.668
Togo,150,736.605
Nigeria,151,736.038
Senegal,152,735.975
Somalia,153,735.67
Swaziland,154,735.205
Madagascar,155,735.148
Liberia,156,734.677
Cameroon,157,734.635
Rwanda,158,734.221
Gambia,159,734.206
Benin,160,733.968
Mauritania,161,733.944
Comoros,162,733.904
Mozambique,163,733.777
Gabon,164,733.615
Djibouti,165,733.559
Guinea,166,732.777
Mauritius,167,732.672
Seychelles,168,732.305
Sudan,169,732.233
Algeria,170,731.743
Burundi,171,731.009
Niger,172,730.976
Ghana,173,730.842
Eritrea,174,730.154
C.A.R.,175,728.622
Namibia,176,726.357
Malawi,177,725.934
South Africa,178,725.772
D.R. of the Congo,179,725.756
Tanzania,180,724.539
Zimbabwe,181,724.516
Zambia,182,724.126
Botswana,183,723.997
Rep. of the Congo,184,723.945
Ethiopia,185,723.892
Kenya,186,723.667
Uganda,187,722.676
Portugal,188,721.798
Côte d'Ivoire,189,714.969
Greece,190,632.054
Spain,191,620.772
Japan,192,531.252
